Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
asok02,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19132169434,18221,18221,0,678428015,19132169434,993320110,28623,10768384,2,101
asok02,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19075314980,18119,18119,0,678428015,19075314980,997524635,28240,10584064,2,100.8
asok02,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,8330435694,0,5518887,1,796114258,8330435694,2262271397,764418132,5589917696,8,102.8
asok02,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,25705994498,0,10522335,1,983559312,25705994498,3633784805,2064743484,5565636608,8,101.7
asok02,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,14754556884,0,7709811,1,868580047,14754556884,2790214663,1263559323,5568385024,8,102
asok02,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19100037384,0,6524407,1,885821919,19100037384,2803919198,1260710247,5593608192,8,102.5
asok02,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19132169434,0,6565041,1,886159688,19132169434,2806546218,1263247141,5596430336,8,102.4
asok02,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19075314980,0,6628652,1,885863353,19075314980,2803238232,1260193770,5585924096,8,102.5
asok02,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,8330435694,1973298.9952976,5518887,0.642446204226034,796114258,8330435694,2262271397,764418132,5589917696,8,102.8
asok02,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,25705994498,2437912.12465032,10522335,0.768310729068185,983559312,25705994498,3633784805,2064743484,5565636608,8,101.7
asok02,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,14754556884,2152917.26891875,7709811,0.720756154863102,868580047,14754556884,2790214663,1263559323,5568385024,8,102
asok02,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19100037384,2195654.05996697,6524407,0.66347070929711,885821919,19100037384,2803919198,1260710247,5593608192,8,102.5
asok02,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19132169434,2196491.27550688,6565041,0.665426114550255,886159688,19132169434,2806546218,1263247141,5596430336,8,102.4
asok02,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19075314980,2195756.7608918,6628652,0.668747618536649,885863353,19075314980,2803238232,1260193770,5585924096,8,102.5
asok02,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,8330435694,1973298.9952976,5518887,0.642446204226034,796114258,8330435694,2262271397,764418132,5589917696,8,102.8
