Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
c2,EAGER-0,eager,bcftools_stats,Perfect,Realtime,14754556884,9051,9051,0,678428015,14754556884,938354974,26121,10866688,2,100.6
c2,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19132169434,9142,9142,0,678428015,19132169434,993220572,28674,10616832,2,100.4
c2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,8330435694,0,2383971,1,796079469,8330435694,2262978181,766337927,5586153472,8,114.7
c2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,25705994498,0,4401957,1,983527689,25705994498,3634496239,2066670988,5580816384,8,133.1
c2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19100037384,0,2870761,1,885813805,19100037384,2804762344,1262736010,3028332544,8,130.3
c2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19075314980,0,2839781,1,885824052,19075314980,2804008784,1262168964,5587664896,8,130.9
c2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,14754556884,0,3318117,1,868560099,14754556884,2791024571,1265539233,5570674688,8,121.1
c2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19132169434,0,2845669,1,886149135,19132169434,2807333635,1265209902,5614043136,8,130.9
c2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,8330435694,1973212.76508873,2383971,0.172300013259921,796079469,8330435694,2262978181,766337927,5586153472,8,114.7
c2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,25705994498,2437833.74188868,4401957,0.446193195006521,983527689,25705994498,3634496239,2066670988,5580816384,8,133.1
c2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19100037384,2195633.94809498,2870761,0.235173548722803,885813805,19100037384,2804762344,1262736010,3028332544,8,130.3
c2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19075314980,2195659.34695525,2839781,0.22682088972521,885824052,19075314980,2804008784,1262168964,5587664896,8,130.9
c2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,14754556884,2152867.82454822,3318117,0.351177844377331,868560099,14754556884,2791024571,1265539233,5570674688,8,121.1
c2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19132169434,2196465.11817571,2845669,0.228137524717138,886149135,19132169434,2807333635,1265209902,5614043136,8,130.9
c2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,8330435694,1973212.76508873,2383971,0.172300013259921,796079469,8330435694,2262978181,766337927,5586153472,8,114.7
c2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,25705994498,2437833.74188868,4401957,0.446193195006521,983527689,25705994498,3634496239,2066670988,5580816384,8,133.1
c2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19100037384,2195633.94809498,2870761,0.235173548722803,885813805,19100037384,2804762344,1262736010,3028332544,8,130.3
c2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19075314980,2195659.34695525,2839781,0.22682088972521,885824052,19075314980,2804008784,1262168964,5587664896,8,130.9
c2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,14754556884,2152867.82454822,3318117,0.351177844377331,868560099,14754556884,2791024571,1265539233,5570674688,8,121.1
c2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19132169434,2196465.11817571,2845669,0.228137524717138,886149135,19132169434,2807333635,1265209902,5614043136,8,130.9
c2,EAGER-0,eager,genotyping_hc,Naive,Realtime,8330435694,847231.223913817,2383971,0.644613452129319,796079469,8330435694,2262978181,766337927,5586153472,8,114.7
