Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
n1,EAGER-0,eager,bcftools_stats,Perfect,Realtime,14754556884,15017,15017,0,678428015,14754556884,938418027,26148,10407936,2,97.5
n1,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19100037384,13312,13312,0,678428015,19100037384,990550737,28319,10428416,2,101.5
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,8330435694,0,3502399,1,796087819,8330435694,2263034685,766395783,5594255360,8,133.3
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,25705994498,0,6943115,1,983527290,25705994498,3634528793,2066754004,5594222592,8,176.1
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19075314980,0,4530912,1,885823795,19075314980,2803968363,1262151895,4776337408,8,169.9
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19132169434,0,4454183,1,886150402,19132169434,2807334646,1265230175,5404827648,8,171.1
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,14754556884,0,5451079,1,868551484,14754556884,2790955528,1265498693,5447598080,8,146.8
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19100037384,0,4566314,1,885812068,19100037384,2804856658,1262735315,5395873792,8,168.9
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,8330435694,1973233.46192521,3502399,0.436605177786653,796087819,8330435694,2263034685,766395783,5594255360,8,133.3
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,25705994498,2437832.75290212,6943115,0.648884866100861,983527290,25705994498,3634528793,2066754004,5594222592,8,176.1
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19075314980,2195658.70993885,4530912,0.515404688959121,885823795,19075314980,2803968363,1262151895,4776337408,8,169.9
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19132169434,2196468.25864179,4454183,0.506875164616768,886150402,19132169434,2807334646,1265230175,5404827648,8,171.1
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,14754556884,2152846.47086604,5451079,0.605060489700105,868551484,14754556884,2790955528,1265498693,5447598080,8,146.8
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19100037384,2195629.64265726,4566314,0.519168054878123,885812068,19100037384,2804856658,1262735315,5395873792,8,168.9
n1,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,8330435694,1973233.46192521,3502399,0.436605177786653,796087819,8330435694,2263034685,766395783,5594255360,8,133.3
n1,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,25705994498,2437832.75290212,6943115,0.648884866100861,983527290,25705994498,3634528793,2066754004,5594222592,8,176.1
n1,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19075314980,2195658.70993885,4530912,0.515404688959121,885823795,19075314980,2803968363,1262151895,4776337408,8,169.9
n1,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19132169434,2196468.25864179,4454183,0.506875164616768,886150402,19132169434,2807334646,1265230175,5404827648,8,171.1
n1,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,14754556884,2152846.47086604,5451079,0.605060489700105,868551484,14754556884,2790955528,1265498693,5447598080,8,146.8
n1,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19100037384,2195629.64265726,4566314,0.519168054878123,885812068,19100037384,2804856658,1262735315,5395873792,8,168.9
n1,EAGER-0,eager,genotyping_hc,Naive,Realtime,8330435694,847240.110439591,3502399,0.758097204105075,796087819,8330435694,2263034685,766395783,5594255360,8,133.3
n1,EAGER-0,eager,genotyping_hc,Naive,Realtime,25705994498,1046723.42662732,6943115,0.849242965639008,983527290,25705994498,3634528793,2066754004,5594222592,8,176.1
n1,EAGER-0,eager,genotyping_hc,Naive,Realtime,19075314980,942742.034225017,4530912,0.791931065042751,885823795,19075314980,2803968363,1262151895,4776337408,8,169.9
n1,EAGER-0,eager,genotyping_hc,Naive,Realtime,19132169434,943089.627221853,4454183,0.788268774044117,886150402,19132169434,2807334646,1265230175,5404827648,8,171.1
n1,EAGER-0,eager,genotyping_hc,Naive,Realtime,14754556884,924359.898071284,5451079,0.830426251743685,868551484,14754556884,2790955528,1265498693,5447598080,8,146.8
n1,EAGER-0,eager,genotyping_hc,Naive,Realtime,19100037384,942729.553711514,4566314,0.793546927847819,885812068,19100037384,2804856658,1262735315,5395873792,8,168.9
n1,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,8330435694,0,3502399,1,796087819,8330435694,2263034685,766395783,5594255360,8,133.3
n1,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,25705994498,0,6943115,1,983527290,25705994498,3634528793,2066754004,5594222592,8,176.1
n1,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19075314980,0,4530912,1,885823795,19075314980,2803968363,1262151895,4776337408,8,169.9
n1,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19132169434,0,4454183,1,886150402,19132169434,2807334646,1265230175,5404827648,8,171.1
n1,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,14754556884,0,5451079,1,868551484,14754556884,2790955528,1265498693,5447598080,8,146.8
n1,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19100037384,0,4566314,1,885812068,19100037384,2804856658,1262735315,5395873792,8,168.9
