Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
local,EAGER-0,eager,qualimap,Perfect,Realtime,25705994498,48137,48137,0,983469374,25705994498,339960719,893111,1623695360,2,195.5
local,EAGER-0,eager,adapter_removal,Lotaru-G,Realtime,8330435694,0,432899,1,8330435839,8330435694,4401867251,3300336616,137863168,8,177.8
local,EAGER-0,eager,adapter_removal,Lotaru-G,Realtime,25705994498,0,1321250,1,25705994643,25705994498,13119947733,10005510817,137506816,8,177.7
local,EAGER-0,eager,adapter_removal,OnlineP,Realtime,8330435694,442240.376430994,432899,0.0215786509809315,8330435839,8330435694,4401867251,3300336616,137863168,8,177.8
local,EAGER-0,eager,adapter_removal,OnlineP,Realtime,25705994498,1364661.94172358,1321250,0.0328567203205905,25705994643,25705994498,13119947733,10005510817,137506816,8,177.7
local,EAGER-0,eager,adapter_removal,OnlineM,Realtime,8330435694,442240.376430994,432899,0.0215786509809315,8330435839,8330435694,4401867251,3300336616,137863168,8,177.8
local,EAGER-0,eager,adapter_removal,OnlineM,Realtime,25705994498,1364661.94172358,1321250,0.0328567203205905,25705994643,25705994498,13119947733,10005510817,137506816,8,177.7
local,EAGER-0,eager,adapter_removal,Naive,Realtime,8330435694,453793.651755327,432899,0.0482668053179305,8330435839,8330435694,4401867251,3300336616,137863168,8,177.8
local,EAGER-0,eager,adapter_removal,Naive,Realtime,25705994498,1400312.94958634,1321250,0.0598395077285441,25705994643,25705994498,13119947733,10005510817,137506816,8,177.7
local,EAGER-0,eager,adapter_removal,Lotaru-A,Realtime,8330435694,0,432899,1,8330435839,8330435694,4401867251,3300336616,137863168,8,177.8
local,EAGER-0,eager,adapter_removal,Lotaru-A,Realtime,25705994498,0,1321250,1,25705994643,25705994498,13119947733,10005510817,137506816,8,177.7
local,EAGER-0,eager,adapter_removal,Perfect,Realtime,8330435694,432899,432899,0,8330435839,8330435694,4401867251,3300336616,137863168,8,177.8
local,EAGER-0,eager,adapter_removal,Perfect,Realtime,25705994498,1321250,1321250,0,25705994643,25705994498,13119947733,10005510817,137506816,8,177.7
local,EAGER-0,eager,preseq,Lotaru-G,Realtime,8330435694,0,14330,1,123357956,8330435694,123406590,52056,7749632,1,96.3
local,EAGER-0,eager,preseq,Lotaru-G,Realtime,25705994498,0,43820,1,339126029,25705994498,339174668,169879,7708672,1,98.2
local,EAGER-0,eager,preseq,OnlineP,Realtime,8330435694,14220.7948591699,14330,0.00762073557781751,123357956,8330435694,123406590,52056,7749632,1,96.3
local,EAGER-0,eager,preseq,OnlineP,Realtime,25705994498,39094.6951959377,43820,0.107834431859021,339126029,25705994498,339174668,169879,7708672,1,98.2
local,EAGER-0,eager,preseq,OnlineM,Realtime,8330435694,14220.7948591699,14330,0.00762073557781751,123357956,8330435694,123406590,52056,7749632,1,96.3
local,EAGER-0,eager,preseq,OnlineM,Realtime,25705994498,39094.6951959377,43820,0.107834431859021,339126029,25705994498,339174668,169879,7708672,1,98.2
local,EAGER-0,eager,preseq,Naive,Realtime,8330435694,14012.7747032602,14330,0.0221371456203596,123357956,8330435694,123406590,52056,7749632,1,96.3
