machine,amount,cpu,memory,storage,cpu_events,linpack,ram_score,read_iops,write_iops
local,3,32,192,hdd,458,3959800,18700,414,415
asok01,3,32,192,hdd,223,0,11000,306,301
asok02,3,32,192,hdd,223,0,11000,341,336
n1,3,32,192,hdd,369,3620426,13400,481,483
n2,3,32,192,hdd,468,4045289,17000,481,483
c2,3,32,192,hdd,523,4602096,18900,481,483
